Song,Artist,Date,Streams,Rank
Stay (with Justin Bieber),The Kid LAROI,2021-07-10,"2,118,377",1
good 4 u,Olivia Rodrigo,2021-07-10,"1,762,606",2
Motley Crew,Post Malone,2021-07-10,"1,415,831",3
Kiss Me More (feat. SZA),Doja Cat,2021-07-10,"1,256,627",4
Levitating (feat. DaBaby),Dua Lipa,2021-07-10,"979,950",5
Beggin',Måneskin,2021-07-10,"968,104",6
NDA,Billie Eilish,2021-07-10,"953,138",7
deja vu,Olivia Rodrigo,2021-07-10,"935,633",8
Ain't Shit,Doja Cat,2021-07-10,"930,121",9
RAPSTAR,Polo G,2021-07-10,"909,145",10
MONTERO (Call Me By Your Name),Lil Nas X,2021-07-10,"905,467",11
Bad Habits,Ed Sheeran,2021-07-10,"880,646",12
traitor,Olivia Rodrigo,2021-07-10,"879,744",13
Permission to Dance,BTS,2021-07-10,"842,560",14
Thot Shit,Megan Thee Stallion,2021-07-10,"815,972",15
Heat Waves,Glass Animals,2021-07-10,"758,300",16
Wants and Needs (feat. Lil Baby),Drake,2021-07-10,"755,226",17
Yonaguni,Bad Bunny,2021-07-10,"746,457",18
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,2021-07-10,"719,940",19
You Right,"Doja Cat, The Weeknd",2021-07-10,"714,679",20
favorite crime,Olivia Rodrigo,2021-07-10,"680,944",21
Butter,BTS,2021-07-10,"675,556",22
WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),"Tyler, The Creator",2021-07-10,"624,674",23
happier,Olivia Rodrigo,2021-07-10,"611,223",24
Astronaut In The Ocean,Masked Wolf,2021-07-10,"597,757",25
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",2021-07-10,"592,241",26
drivers license,Olivia Rodrigo,2021-07-10,"588,966",27
brutal,Olivia Rodrigo,2021-07-10,"582,538",28
Todo De Ti,Rauw Alejandro,2021-07-10,"579,015",29
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,2021-07-10,"564,358",30
WHOLE LOTTA MONEY (feat. Nicki Minaj) - Remix,BIA,2021-07-10,"541,959",31
"jealousy, jealousy",Olivia Rodrigo,2021-07-10,"539,242",32
t r a n s p a r e n t s o u l feat. Travis Barker,WILLOW,2021-07-10,"536,384",33
Red Light Green Light,DaBaby,2021-07-10,"529,398",34
Need To Know,Doja Cat,2021-07-10,"516,669",35
The Jackie (with J. Cole & Lil Tjay),Bas,2021-07-10,"499,266",36
EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),DJ Khaled,2021-07-10,"481,889",37
Ball If I Want To,DaBaby,2021-07-10,"473,895",38
Blinding Lights,The Weeknd,2021-07-10,"472,956",39
Miss The Rage (feat. Playboi Carti),Trippie Redd,2021-07-10,"472,808",40
Heartbreak Anniversary,Giveon,2021-07-10,"466,475",41
Memory,"Kane Brown, blackbear",2021-07-10,"464,885",42
Fancy Like,Walker Hayes,2021-07-10,"453,683",43
Best Friend (feat. Doja Cat),Saweetie,2021-07-10,"446,737",44
Tell Em,"Cochise, $NOT",2021-07-10,"442,642",45
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,2021-07-10,"429,643",46
Up,Cardi B,2021-07-10,"429,605",47
Late At Night,Roddy Ricch,2021-07-10,"425,331",48
Freaks,Surf Curse,2021-07-10,"414,828",49
DÁKITI,"Bad Bunny, Jhay Cortez",2021-07-10,"409,273",50
AM Remix,"Nio Garcia, J Balvin, Bad Bunny",2021-07-10,"405,976",51
Leave Before You Love Me (with Jonas Brothers),Marshmello,2021-07-10,"396,992",52
enough for you,Olivia Rodrigo,2021-07-10,"396,240",53
telepatía,Kali Uchis,2021-07-10,"386,742",54
GANG GANG (with Lil Wayne),Polo G,2021-07-10,"382,370",55
I WANNA BE YOUR SLAVE,Måneskin,2021-07-10,"380,296",56
my ex's best friend (with blackbear),Machine Gun Kelly,2021-07-10,"375,890",57
Watermelon Sugar,Harry Styles,2021-07-10,"374,614",58
Mood (feat. iann dior),24kGoldn,2021-07-10,"371,649",59
Good Days,SZA,2021-07-10,"367,478",60
Sweater Weather,The Neighbourhood,2021-07-10,"363,951",61
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2021-07-10,"361,298",62
Martin & Gina,Polo G,2021-07-10,"360,434",63
Lil Bit,"Nelly, Florida Georgia Line",2021-07-10,"358,929",64
Circles,Post Malone,2021-07-10,"358,717",65
Solid (feat. Drake),"Young Stoner Life, Young Thug, Gunna",2021-07-10,"357,048",66
Build a Bitch,Bella Poarch,2021-07-10,"353,421",67
Volando - Remix,"Mora, Bad Bunny, Sech",2021-07-10,"348,576",68
m y . l i f e (with 21 Savage & Morray),J. Cole,2021-07-10,"348,208",69
All Eyes On Me,Bo Burnham,2021-07-10,"346,518",70
Streets,Doja Cat,2021-07-10,"341,910",71
"1 step forward, 3 steps back",Olivia Rodrigo,2021-07-10,"339,401",72
Wockesha,Moneybagg Yo,2021-07-10,"337,203",73
Qué Más Pues?,"J Balvin, Maria Becerra",2021-07-10,"335,442",74
p r i d e . i s . t h e . d e v i l (with Lil Baby),J. Cole,2021-07-10,"334,864",75
Forever After All,Luke Combs,2021-07-10,"334,841",76
WITHOUT YOU,The Kid LAROI,2021-07-10,"334,358",77
De Museo,Bad Bunny,2021-07-10,"326,106",78
JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),"Tyler, The Creator",2021-07-10,"326,070",79
"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",Internet Money,2021-07-10,"325,328",80
Welcome to the Internet,Bo Burnham,2021-07-10,"325,169",81
Hats Off (feat. Travis Scott),"Lil Baby, Lil Durk",2021-07-10,"323,667",82
Calling My Phone,"Lil Tjay, 6LACK",2021-07-10,"323,311",83
Dreams - 2004 Remaster,Fleetwood Mac,2021-07-10,"319,473",84
Ramen & OJ,"Joyner Lucas, Lil Baby",2021-07-10,"317,151",85
No Role Modelz,J. Cole,2021-07-10,"310,893",86
Never Left,Lil Tecca,2021-07-10,"310,881",87
"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,2021-07-10,"306,472",88
2055,Sleepy Hallow,2021-07-10,"305,567",89
ARE YOU WITH THAT?,Vince Staples,2021-07-10,"303,584",90
All Girls Are The Same,Juice WRLD,2021-07-10,"298,023",91
4 Da Gang (with Roddy Ricch),42 Dugg,2021-07-10,"297,795",92
ROCKSTAR (feat. Roddy Ricch),DaBaby,2021-07-10,"297,775",93
Bezos I,Bo Burnham,2021-07-10,"297,572",94
I Don't Do Drugs (feat. Ariana Grande),Doja Cat,2021-07-10,"297,192",95
The Spins,Mac Miller,2021-07-10,"295,947",96
Laugh Now Cry Later (feat. Lil Durk),Drake,2021-07-10,"295,198",97
Get Into It (Yuh),Doja Cat,2021-07-10,"292,026",98
WAP (feat. Megan Thee Stallion),Cardi B,2021-07-10,"290,833",99
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,2021-07-10,"290,307",100
Lucid Dreams,Juice WRLD,2021-07-10,"289,594",101
hope ur ok,Olivia Rodrigo,2021-07-10,"287,770",102
Wishing Well,Juice WRLD,2021-07-10,"287,056",103
Famous Friends,"Chris Young, Kane Brown",2021-07-10,"286,445",104
Mr. Brightside,The Killers,2021-07-10,"286,014",105
Dynamite,BTS,2021-07-10,"283,480",106
Having Our Way (feat. Drake),Migos,2021-07-10,"282,599",107
What’s Next,Drake,2021-07-10,"279,370",108
Save Your Tears,The Weeknd,2021-07-10,"279,063",109
Goosebumps - Remix,"Travis Scott, HVME",2021-07-10,"276,983",110
"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track",Jack Harlow,2021-07-10,"276,242",111
Come & Go (with Marshmello),Juice WRLD,2021-07-10,"276,058",112
Chasing After You (with Maren Morris),Ryan Hurd,2021-07-10,"275,001",113
Run It Up (feat. Offset & Moneybagg Yo),Lil Tjay,2021-07-10,"273,862",114
Straightenin,Migos,2021-07-10,"272,187",115
Lost Cause,Billie Eilish,2021-07-10,"272,072",116
Back In Blood (feat. Lil Durk),Pooh Shiesty,2021-07-10,"269,667",117
Whiskey Glasses,Morgan Wallen,2021-07-10,"268,215",118
What You Know Bout Love,Pop Smoke,2021-07-10,"267,928",119
A-O-K,Tai Verdes,2021-07-10,"267,799",120
The Box,Roddy Ricch,2021-07-10,"259,956",121
No Return (with The Kid LAROI & Lil Durk),Polo G,2021-07-10,"259,879",122
Don't Start Now,Dua Lipa,2021-07-10,"259,296",123
LUMBERJACK,"Tyler, The Creator",2021-07-10,"258,292",124
Blueberry Faygo,Lil Mosey,2021-07-10,"255,929",125
Pain,PinkPantheress,2021-07-10,"255,601",126
SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),"Tyler, The Creator",2021-07-10,"255,000",127
Daddy Issues,The Neighbourhood,2021-07-10,"252,760",128
Electric Love,BØRNS,2021-07-10,"251,776",129
Robbery,Juice WRLD,2021-07-10,"251,564",130
Ski,"Young Stoner Life, Young Thug, Gunna",2021-07-10,"251,154",131
LEMONHEAD (feat. 42 Dugg),"Tyler, The Creator",2021-07-10,"248,722",132
Reckless,Madison Beer,2021-07-10,"248,707",133
Don't Stop Believin',Journey,2021-07-10,"248,629",134
Tennessee Whiskey,Chris Stapleton,2021-07-10,"248,449",135
Chicken Fried,Zac Brown Band,2021-07-10,"247,613",136
20 Min,Lil Uzi Vert,2021-07-10,"247,472",137
goosebumps,Travis Scott,2021-07-10,"246,351",138
Modern Day,Migos,2021-07-10,"245,194",139
Drunk (And I Don't Wanna Go Home),"Elle King, Miranda Lambert",2021-07-10,"245,142",140
Headshot (feat. Polo G & Fivio Foreign),Lil Tjay,2021-07-10,"244,974",141
Tongue Tied,Grouplove,2021-07-10,"244,277",142
Cigarette Daydreams,Cage The Elephant,2021-07-10,"244,018",143
Wasting Time ( feat. Drake ),Brent Faiyaz,2021-07-10,"243,919",144
Glad You Exist,Dan + Shay,2021-07-10,"241,263",145
Wasted On You,Morgan Wallen,2021-07-10,"239,524",146
Dinero,Trinidad Cardona,2021-07-10,"236,762",147
Someone You Loved,Lewis Capaldi,2021-07-10,"235,506",148
Woman,Doja Cat,2021-07-10,"235,347",149
As the World Caves In,Sarah Cothran,2021-07-10,"235,271",150
Life Is Good (feat. Drake),Future,2021-07-10,"235,145",151
Knock Knock,SoFaygo,2021-07-10,"235,036",152
Talking to the Moon,Bruno Mars,2021-07-10,"232,672",153
Dior,Pop Smoke,2021-07-10,"231,689",154
Outside (Better Days),"Blueface, Og Bobby Billions",2021-07-10,"230,399",155
positions,Ariana Grande,2021-07-10,"229,944",156
We're Good,Dua Lipa,2021-07-10,"229,773",157
HOT WIND BLOWS (feat. Lil Wayne),"Tyler, The Creator",2021-07-10,"229,767",158
hot girl bummer,blackbear,2021-07-10,"228,274",159
More Than My Hometown,Morgan Wallen,2021-07-10,"228,035",160
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers",2021-07-10,"227,786",161
Hold On,Justin Bieber,2021-07-10,"227,493",162
Cry No More,"G Herbo, Polo G, Lil Tjay",2021-07-10,"226,651",163
The Less I Know The Better,Tame Impala,2021-07-10,"226,605",164
Beautiful Crazy,Luke Combs,2021-07-10,"226,338",165
Heartbreak Anthem (with David Guetta & Little Mix),Galantis,2021-07-10,"224,022",166
Everybody Talks,Neon Trees,2021-07-10,"222,997",167
34+35,Ariana Grande,2021-07-10,"222,934",168
Wagon Wheel,Darius Rucker,2021-07-10,"221,378",169
My Potna Dem,$ilkMoney,2021-07-10,"221,176",170
you broke me first,Tate McRae,2021-07-10,"220,822",171
XO Tour Llif3,Lil Uzi Vert,2021-07-10,"219,789",172
Look Who’s Inside Again,Bo Burnham,2021-07-10,"218,816",173
When It Rains It Pours,Luke Combs,2021-07-10,"218,666",174
Misery Business,Paramore,2021-07-10,"218,428",175
Heather,Conan Gray,2021-07-10,"216,611",176
Sweet Home Alabama,Lynyrd Skynyrd,2021-07-10,"216,483",177
Smells Like Teen Spirit,Nirvana,2021-07-10,"215,773",178
SLOW DANCING IN THE DARK,Joji,2021-07-10,"215,545",179
Bohemian Rhapsody - Remastered 2011,Queen,2021-07-10,"215,525",180
"Wine, Beer, Whiskey",Little Big Town,2021-07-10,"214,751",181
21,Polo G,2021-07-10,"213,089",182
Beer Never Broke My Heart,Luke Combs,2021-07-10,"212,710",183
Drip Too Hard (Lil Baby & Gunna),Lil Baby,2021-07-10,"212,295",184
Bandit (with YoungBoy Never Broke Again),Juice WRLD,2021-07-10,"212,169",185
GO (feat. Juice WRLD),The Kid LAROI,2021-07-10,"211,055",186
Body Like A Back Road,Sam Hunt,2021-07-10,"210,652",187
Washing Machine Heart,Mitski,2021-07-10,"210,406",188
"Bills, Bills, Bills",Destiny's Child,2021-07-10,"209,707",189
Tampa,Cico P,2021-07-10,"209,528",190
Riptide,Vance Joy,2021-07-10,"209,206",191
505,Arctic Monkeys,2021-07-10,"208,950",192
Ric Flair Drip (& Metro Boomin),Offset,2021-07-10,"208,246",193
rockstar (feat. 21 Savage),Post Malone,2021-07-10,"207,941",194
Godzilla (feat. Juice WRLD),Eminem,2021-07-10,"207,300",195
CORSO,"Tyler, The Creator",2021-07-10,"207,277",196
LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA",2021-07-10,"206,805",197
The Hills,The Weeknd,2021-07-10,"206,598",198
YKWIM?,Yot Club,2021-07-10,"206,589",199
2/Catorce,"Rauw Alejandro, Mr. Naisgai",2021-07-10,"206,328",200
Stay (with Justin Bieber),The Kid LAROI,2021-07-11,"1,795,767",1
good 4 u,Olivia Rodrigo,2021-07-11,"1,546,581",2
Kiss Me More (feat. SZA),Doja Cat,2021-07-11,"1,099,835",3
Motley Crew,Post Malone,2021-07-11,"1,087,783",4
Beggin',Måneskin,2021-07-11,"863,411",5
Ain't Shit,Doja Cat,2021-07-11,"847,963",6
deja vu,Olivia Rodrigo,2021-07-11,"838,896",7
Levitating (feat. DaBaby),Dua Lipa,2021-07-11,"832,937",8
traitor,Olivia Rodrigo,2021-07-11,"809,611",9
RAPSTAR,Polo G,2021-07-11,"806,510",10
MONTERO (Call Me By Your Name),Lil Nas X,2021-07-11,"798,921",11
Bad Habits,Ed Sheeran,2021-07-11,"740,342",12
NDA,Billie Eilish,2021-07-11,"733,149",13
Thot Shit,Megan Thee Stallion,2021-07-11,"697,804",14
Heat Waves,Glass Animals,2021-07-11,"667,221",15
Permission to Dance,BTS,2021-07-11,"663,184",16
Wants and Needs (feat. Lil Baby),Drake,2021-07-11,"650,023",17
favorite crime,Olivia Rodrigo,2021-07-11,"630,475",18
Yonaguni,Bad Bunny,2021-07-11,"622,973",19
You Right,"Doja Cat, The Weeknd",2021-07-11,"619,301",20
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,2021-07-11,"613,946",21
happier,Olivia Rodrigo,2021-07-11,"559,220",22
Butter,BTS,2021-07-11,"558,416",23
WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),"Tyler, The Creator",2021-07-11,"539,738",24
drivers license,Olivia Rodrigo,2021-07-11,"538,796",25
brutal,Olivia Rodrigo,2021-07-11,"528,646",26
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",2021-07-11,"518,197",27
Astronaut In The Ocean,Masked Wolf,2021-07-11,"514,432",28
"jealousy, jealousy",Olivia Rodrigo,2021-07-11,"498,250",29
t r a n s p a r e n t s o u l feat. Travis Barker,WILLOW,2021-07-11,"487,750",30
Need To Know,Doja Cat,2021-07-11,"485,634",31
Todo De Ti,Rauw Alejandro,2021-07-11,"482,336",32
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,2021-07-11,"481,987",33
Red Light Green Light,DaBaby,2021-07-11,"457,627",34
Get with You,townhall,2021-07-11,"436,918",35
Miss The Rage (feat. Playboi Carti),Trippie Redd,2021-07-11,"430,245",36
WHOLE LOTTA MONEY (feat. Nicki Minaj) - Remix,BIA,2021-07-11,"426,869",37
Heartbreak Anniversary,Giveon,2021-07-11,"417,634",38
Ball If I Want To,DaBaby,2021-07-11,"415,530",39
Blinding Lights,The Weeknd,2021-07-11,"409,536",40
Tell Em,"Cochise, $NOT",2021-07-11,"406,754",41
EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),DJ Khaled,2021-07-11,"404,017",42
Freaks,Surf Curse,2021-07-11,"395,961",43
Best Friend (feat. Doja Cat),Saweetie,2021-07-11,"385,048",44
Fancy Like,Walker Hayes,2021-07-11,"384,408",45
Late At Night,Roddy Ricch,2021-07-11,"376,439",46
Up,Cardi B,2021-07-11,"369,324",47
The Jackie (with J. Cole & Lil Tjay),Bas,2021-07-11,"368,827",48
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,2021-07-11,"365,994",49
enough for you,Olivia Rodrigo,2021-07-11,"363,224",50
DÁKITI,"Bad Bunny, Jhay Cortez",2021-07-11,"351,199",51
Memory,"Kane Brown, blackbear",2021-07-11,"347,719",52
I WANNA BE YOUR SLAVE,Måneskin,2021-07-11,"346,736",53
Sweater Weather,The Neighbourhood,2021-07-11,"345,634",54
telepatía,Kali Uchis,2021-07-11,"344,361",55
Good Days,SZA,2021-07-11,"336,822",56
Leave Before You Love Me (with Jonas Brothers),Marshmello,2021-07-11,"334,993",57
my ex's best friend (with blackbear),Machine Gun Kelly,2021-07-11,"334,794",58
Mood (feat. iann dior),24kGoldn,2021-07-11,"331,520",59
AM Remix,"Nio Garcia, J Balvin, Bad Bunny",2021-07-11,"330,716",60
GANG GANG (with Lil Wayne),Polo G,2021-07-11,"329,928",61
Martin & Gina,Polo G,2021-07-11,"328,708",62
Circles,Post Malone,2021-07-11,"321,892",63
Watermelon Sugar,Harry Styles,2021-07-11,"315,832",64
Build a Bitch,Bella Poarch,2021-07-11,"315,386",65
Streets,Doja Cat,2021-07-11,"315,226",66
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2021-07-11,"314,411",67
"1 step forward, 3 steps back",Olivia Rodrigo,2021-07-11,"312,645",68
All Eyes On Me,Bo Burnham,2021-07-11,"307,456",69
Welcome to the Internet,Bo Burnham,2021-07-11,"305,395",70
Lil Bit,"Nelly, Florida Georgia Line",2021-07-11,"302,563",71
WITHOUT YOU,The Kid LAROI,2021-07-11,"301,116",72
m y . l i f e (with 21 Savage & Morray),J. Cole,2021-07-11,"301,090",73
Solid (feat. Drake),"Young Stoner Life, Young Thug, Gunna",2021-07-11,"299,270",74
Calling My Phone,"Lil Tjay, 6LACK",2021-07-11,"295,641",75
Bezos I,Bo Burnham,2021-07-11,"294,338",76
Forever After All,Luke Combs,2021-07-11,"292,194",77
Wockesha,Moneybagg Yo,2021-07-11,"290,945",78
"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",Internet Money,2021-07-11,"285,774",79
p r i d e . i s . t h e . d e v i l (with Lil Baby),J. Cole,2021-07-11,"285,257",80
Dreams - 2004 Remaster,Fleetwood Mac,2021-07-11,"283,296",81
2055,Sleepy Hallow,2021-07-11,"281,685",82
All Girls Are The Same,Juice WRLD,2021-07-11,"279,335",83
JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),"Tyler, The Creator",2021-07-11,"279,236",84
Qué Más Pues?,"J Balvin, Maria Becerra",2021-07-11,"278,828",85
No Role Modelz,J. Cole,2021-07-11,"278,295",86
Hats Off (feat. Travis Scott),"Lil Baby, Lil Durk",2021-07-11,"276,755",87
Never Left,Lil Tecca,2021-07-11,"274,867",88
"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,2021-07-11,"271,321",89
Lucid Dreams,Juice WRLD,2021-07-11,"269,067",90
hope ur ok,Olivia Rodrigo,2021-07-11,"265,836",91
Ramen & OJ,"Joyner Lucas, Lil Baby",2021-07-11,"265,437",92
Wishing Well,Juice WRLD,2021-07-11,"264,680",93
Volando - Remix,"Mora, Bad Bunny, Sech",2021-07-11,"262,612",94
I Don't Do Drugs (feat. Ariana Grande),Doja Cat,2021-07-11,"262,000",95
WAP (feat. Megan Thee Stallion),Cardi B,2021-07-11,"260,284",96
Get Into It (Yuh),Doja Cat,2021-07-11,"259,483",97
ROCKSTAR (feat. Roddy Ricch),DaBaby,2021-07-11,"259,165",98
4 Da Gang (with Roddy Ricch),42 Dugg,2021-07-11,"258,080",99
Laugh Now Cry Later (feat. Lil Durk),Drake,2021-07-11,"256,793",100
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,2021-07-11,"256,001",101
The Spins,Mac Miller,2021-07-11,"255,335",102
Come & Go (with Marshmello),Juice WRLD,2021-07-11,"253,152",103
Mr. Brightside,The Killers,2021-07-11,"252,593",104
Save Your Tears,The Weeknd,2021-07-11,"248,893",105
Daddy Issues,The Neighbourhood,2021-07-11,"244,047",106
Pain,PinkPantheress,2021-07-11,"241,986",107
What You Know Bout Love,Pop Smoke,2021-07-11,"241,846",108
Famous Friends,"Chris Young, Kane Brown",2021-07-11,"239,719",109
De Museo,Bad Bunny,2021-07-11,"239,114",110
Back In Blood (feat. Lil Durk),Pooh Shiesty,2021-07-11,"239,111",111
No Return (with The Kid LAROI & Lil Durk),Polo G,2021-07-11,"238,974",112
Run It Up (feat. Offset & Moneybagg Yo),Lil Tjay,2021-07-11,"238,953",113
Dynamite,BTS,2021-07-11,"238,557",114
Chasing After You (with Maren Morris),Ryan Hurd,2021-07-11,"237,796",115
"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track",Jack Harlow,2021-07-11,"236,578",116
What’s Next,Drake,2021-07-11,"236,539",117
Lost Cause,Billie Eilish,2021-07-11,"236,217",118
The Box,Roddy Ricch,2021-07-11,"235,728",119
Robbery,Juice WRLD,2021-07-11,"234,655",120
Goosebumps - Remix,"Travis Scott, HVME",2021-07-11,"234,108",121
Having Our Way (feat. Drake),Migos,2021-07-11,"233,648",122
Whiskey Glasses,Morgan Wallen,2021-07-11,"233,061",123
A-O-K,Tai Verdes,2021-07-11,"232,459",124
Blueberry Faygo,Lil Mosey,2021-07-11,"230,814",125
Straightenin,Migos,2021-07-11,"229,371",126
Cigarette Daydreams,Cage The Elephant,2021-07-11,"227,699",127
Electric Love,BØRNS,2021-07-11,"227,339",128
20 Min,Lil Uzi Vert,2021-07-11,"226,068",129
Reckless,Madison Beer,2021-07-11,"223,580",130
goosebumps,Travis Scott,2021-07-11,"221,419",131
SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),"Tyler, The Creator",2021-07-11,"220,946",132
ARE YOU WITH THAT?,Vince Staples,2021-07-11,"220,944",133
LUMBERJACK,"Tyler, The Creator",2021-07-11,"220,899",134
Knock Knock,SoFaygo,2021-07-11,"220,208",135
Don't Start Now,Dua Lipa,2021-07-11,"220,008",136
Tongue Tied,Grouplove,2021-07-11,"219,766",137
As the World Caves In,Sarah Cothran,2021-07-11,"219,683",138
Headshot (feat. Polo G & Fivio Foreign),Lil Tjay,2021-07-11,"219,408",139
Tennessee Whiskey,Chris Stapleton,2021-07-11,"218,373",140
Ski,"Young Stoner Life, Young Thug, Gunna",2021-07-11,"217,946",141
Woman,Doja Cat,2021-07-11,"216,947",142
Talking to the Moon,Bruno Mars,2021-07-11,"215,311",143
Someone You Loved,Lewis Capaldi,2021-07-11,"215,200",144
Dinero,Trinidad Cardona,2021-07-11,"210,638",145
LEMONHEAD (feat. 42 Dugg),"Tyler, The Creator",2021-07-11,"210,350",146
Don't Stop Believin',Journey,2021-07-11,"210,249",147
Chicken Fried,Zac Brown Band,2021-07-11,"209,976",148
Heather,Conan Gray,2021-07-11,"209,091",149
SLOW DANCING IN THE DARK,Joji,2021-07-11,"208,594",150
Wasted On You,Morgan Wallen,2021-07-11,"207,996",151
The Less I Know The Better,Tame Impala,2021-07-11,"206,878",152
Outside (Better Days),"Blueface, Og Bobby Billions",2021-07-11,"206,349",153
hot girl bummer,blackbear,2021-07-11,"205,981",154
you broke me first,Tate McRae,2021-07-11,"205,805",155
Washing Machine Heart,Mitski,2021-07-11,"205,082",156
Everybody Talks,Neon Trees,2021-07-11,"205,069",157
Dior,Pop Smoke,2021-07-11,"204,922",158
positions,Ariana Grande,2021-07-11,"204,638",159
Glad You Exist,Dan + Shay,2021-07-11,"204,479",160
Drunk (And I Don't Wanna Go Home),"Elle King, Miranda Lambert",2021-07-11,"203,998",161
Wasting Time ( feat. Drake ),Brent Faiyaz,2021-07-11,"203,809",162
Beautiful Crazy,Luke Combs,2021-07-11,"203,772",163
YKWIM?,Yot Club,2021-07-11,"203,589",164
Look Who’s Inside Again,Bo Burnham,2021-07-11,"203,438",165
My Potna Dem,$ilkMoney,2021-07-11,"203,012",166
Life Is Good (feat. Drake),Future,2021-07-11,"201,949",167
Modern Day,Migos,2021-07-11,"200,546",168
XO Tour Llif3,Lil Uzi Vert,2021-07-11,"200,123",169
505,Arctic Monkeys,2021-07-11,"199,801",170
More Than My Hometown,Morgan Wallen,2021-07-11,"197,660",171
34+35,Ariana Grande,2021-07-11,"197,158",172
HOT WIND BLOWS (feat. Lil Wayne),"Tyler, The Creator",2021-07-11,"196,237",173
21,Polo G,2021-07-11,"194,280",174
Smells Like Teen Spirit,Nirvana,2021-07-11,"194,177",175
Jocelyn Flores,XXXTENTACION,2021-07-11,"194,169",176
We're Good,Dua Lipa,2021-07-11,"193,592",177
Bandit (with YoungBoy Never Broke Again),Juice WRLD,2021-07-11,"192,467",178
Space Song,Beach House,2021-07-11,"192,290",179
As the World Caves In,Matt Maltese,2021-07-11,"192,035",180
Misery Business,Paramore,2021-07-11,"191,507",181
Riptide,Vance Joy,2021-07-11,"190,596",182
Cry No More,"G Herbo, Polo G, Lil Tjay",2021-07-11,"190,565",183
Wagon Wheel,Darius Rucker,2021-07-11,"190,458",184
Bohemian Rhapsody - Remastered 2011,Queen,2021-07-11,"190,445",185
When It Rains It Pours,Luke Combs,2021-07-11,"189,655",186
Before You Go,Lewis Capaldi,2021-07-11,"189,479",187
"Bills, Bills, Bills",Destiny's Child,2021-07-11,"189,381",188
Hold On,Justin Bieber,2021-07-11,"189,354",189
The Hills,The Weeknd,2021-07-11,"188,192",190
Drip Too Hard (Lil Baby & Gunna),Lil Baby,2021-07-11,"186,862",191
lovely (with Khalid),Billie Eilish,2021-07-11,"185,675",192
The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert,2021-07-11,"185,429",193
GO (feat. Juice WRLD),The Kid LAROI,2021-07-11,"185,418",194
Godzilla (feat. Juice WRLD),Eminem,2021-07-11,"185,154",195
Heartbreak Anthem (with David Guetta & Little Mix),Galantis,2021-07-11,"184,926",196
SAD!,XXXTENTACION,2021-07-11,"184,394",197
Bang!,AJR,2021-07-11,"183,275",198
Ric Flair Drip (& Metro Boomin),Offset,2021-07-11,"182,937",199
Wait a Minute!,WILLOW,2021-07-11,"182,896",200
